currency,horizon_hours,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,1,0.1,-0.05647701625759209,-0.06731141493922523,-0.6521879138012555,0.0017402003373147013,246
BTC,1,0.2,-0.030066728574862575,0.23795123807987997,1.804670797504958,0.013171877190539028,246
BTC,1,0.3,-0.021942184596626096,0.2873858324470396,1.86638771422806,0.014075299822899234,246
BTC,1,0.5,-0.02601170720377612,0.07388216321887198,0.5112029726201002,0.0010698725043486457,246
BTC,1,0.7,-0.024952487838584773,-0.3272259101868112,-2.140126267509606,0.018425206586339504,246
BTC,1,0.8,-0.013444285745535765,-0.08101854944964183,-0.6974064246993524,0.0019893776075544656,246
BTC,1,0.9,0.007619335133528475,-0.28319449820102055,-2.3673594609009325,0.022453093868943452,246
BTC,3,0.1,-0.07925688078689395,0.4629182725125799,2.085784774243338,0.022384805629256488,192
BTC,3,0.2,-0.0603346498483425,0.8159539854673841,2.4811197477732883,0.03138296360376314,192
BTC,3,0.3,-0.04965822511011511,0.6182529647407748,1.8078002529559407,0.01690988346510569,192
BTC,3,0.5,-0.0733672094597068,0.03000865787470512,0.09622041106672109,4.872587570414755e-05,192
BTC,3,0.7,-0.0781375013997193,-1.2890496054811584,-3.907872682791376,0.07439645161784081,192
BTC,3,0.8,-0.06512403688503342,-0.3905343571566801,-1.3857676140563242,0.010005983530951501,192
BTC,3,0.9,0.003918542875526416,-0.901826663006233,-3.234018906224611,0.05217468228524036,192
BTC,6,0.1,-0.15411712240863995,0.5156025508955667,1.2703737808338285,0.013492162899158888,120
BTC,6,0.2,-0.2412973603639322,-0.7023131909022993,-1.3052626196851134,0.014232729287509294,120
BTC,6,0.3,-0.19014910487936068,-0.4226710235310096,-0.6785199921071411,0.003886441553162978,120
BTC,6,0.5,-0.1829588448406521,-0.23770906425937363,-0.38384621717700496,0.0012470693037776037,120
BTC,6,0.7,-0.16421042224725416,-1.6732494992108207,-2.4566229160487136,0.04865559188051061,120
BTC,6,0.8,-0.2153785837130302,0.3629945916601242,0.6194293053299532,0.003241093901248382,120
BTC,6,0.9,-0.21343279348598554,-0.040471182777137044,-0.08204004281999154,5.70354639389814e-05,120
BTC,12,0.1,-0.01743207041869388,0.3506116026305452,0.8337717353259626,0.004675170564175324,150
BTC,12,0.2,-0.08148333661316223,-1.2427641525322408,-2.157501681914746,0.030492412263419033,150
BTC,12,0.3,-0.05591926257198941,-0.8827749203194233,-1.4503399226394382,0.01401357122862823,150
BTC,12,0.5,-0.07813539573065847,-1.269458213859695,-2.1163473740650955,0.029374067086561872,150
BTC,12,0.7,-0.13592209251877685,-3.203337541641299,-5.373566276578296,0.1632518982702419,150
BTC,12,0.8,-0.12009984229723604,-1.4869441695431906,-2.7525039258426185,0.048698156080775656,150
BTC,12,0.9,-0.03134699834212998,-0.6735870905015452,-1.274873668301753,0.010862486751588296,150
BTC,24,0.1,-0.04212341698210098,-0.4406935367586014,-1.8065296655647607,0.014617475359771093,222
BTC,24,0.2,-0.05199288820081748,-0.2874066654700805,-0.7853185258928026,0.00279545980291096,222
BTC,24,0.3,-0.08132156518048822,-0.38756060614672244,-1.0378351532113954,0.0048720640737827114,222
BTC,24,0.5,-0.09465616535226945,-0.020777498790560907,-0.062113627473663356,1.7536523001293602e-05,222
BTC,24,0.7,-0.10236979140907941,-0.3653543607991737,-0.9257434420451596,0.0038803430134333183,222
BTC,24,0.8,-0.07726697993837511,0.331565594661796,0.8765575264686525,0.003480358875850631,222
BTC,24,0.9,-0.016952008709790984,0.6541210881142726,1.6877483071187158,0.012782201452667508,222
ETH,1,0.1,-0.07003327888480065,-0.21566235304296094,-5.105220355091469,0.09650803089089544,246
ETH,1,0.2,-0.021073218959525235,-0.318708485528415,-3.8263531358937173,0.05660734202148521,246
ETH,1,0.3,-0.026051529735012707,-0.016358285773285238,-0.18526997253683056,0.00014065628976200895,246
ETH,1,0.5,-0.014297801122242599,-0.14218342637649364,-1.340702518474317,0.0073128626840580635,246
ETH,1,0.7,-0.019018298578347522,0.06572395399311252,0.43821332954905956,0.0007863930754383741,246
ETH,1,0.8,-0.015510979439227909,0.16515671799693143,1.474575951360151,0.008832658732554455,246
ETH,1,0.9,0.012125512226692916,-0.38782371425071543,-4.087693849250033,0.0640914796145009,246
ETH,3,0.1,-0.16159774334378507,-0.5367743481995508,-5.118837539404864,0.12119424163422399,192
ETH,3,0.2,-0.08186707272434744,-0.4995485171183584,-2.53076189086851,0.03260998301121176,192
ETH,3,0.3,-0.07985732210306967,-6.2039312184172e-05,-0.0003142175956154045,5.19645770857835e-10,192
ETH,3,0.5,-0.06669418636936927,-0.49410845157983313,-2.2022376444047174,0.024890194303166968,192
ETH,3,0.7,-0.0717964682530424,-0.07212103263533325,-0.2623090522408249,0.0003620059510102136,192
ETH,3,0.8,-0.0781662837122335,0.48397142010785776,2.4209931078858546,0.029925311394741083,192
ETH,3,0.9,-0.07469976928046368,-0.2574381027690573,-1.4584408111876928,0.011071057428764686,192
ETH,6,0.1,-0.09695207694225627,-0.3030978198890596,-1.9460278901443504,0.031095468201451815,120
ETH,6,0.2,-0.04226390463292298,-1.5979914670206794,-4.738955364434366,0.1598894063799844,120
ETH,6,0.3,-0.012455921672531987,-1.1067699417586059,-2.742073213657337,0.059903023248821685,120
ETH,6,0.5,-0.006854481635889531,-1.3090571070459165,-3.2058584726689308,0.08011947738013148,120
ETH,6,0.7,-0.01952846929136127,-0.3420668688768082,-0.6866368657878168,0.003979609476618018,120
ETH,6,0.8,-0.034254102211411154,0.5729980528532053,1.3091405554408193,0.014316213272762002,120
ETH,6,0.9,-0.04721252174720762,-1.1515992073187127,-3.445812546189303,0.09142444576749043,120
ETH,12,0.1,-0.06078753204035338,-0.5229230910513307,-3.3610036251051425,0.0709140271980232,150
ETH,12,0.2,-0.008418193317753925,-1.9743075126996283,-5.004915336912108,0.14475178609482275,150
ETH,12,0.3,-0.007110432244559159,-1.200581287559367,-2.622381394336214,0.044402263216281934,150
ETH,12,0.5,-0.07057699725341253,-1.206537784446322,-2.227243047993357,0.032430646969263455,150
ETH,12,0.7,-0.16304869365501268,-0.5408505259682225,-0.7149427277163651,0.0034417828402063533,150
ETH,12,0.8,-0.232228014143175,0.5051319938100346,0.7515223728916084,0.003801613374413093,150
ETH,12,0.9,-0.23452202319938847,-1.0857614336063368,-2.6365757127144165,0.04486261879492692,150
ETH,24,0.1,0.08984921944922798,-0.25342674492068823,-1.4004771624144856,0.008836387072155394,222
ETH,24,0.2,0.050552853582416714,-0.44855137018226005,-1.1444686983046337,0.005918438995888731,222
ETH,24,0.3,0.028809095518954532,-0.10828093707105965,-0.297772857227577,0.0004028770542138238,222
ETH,24,0.5,-0.04491173797994446,1.1381269265995273,2.323431519190102,0.02395019487492067,222
ETH,24,0.7,-0.16084560542112622,2.1629938455363744,3.878057131381548,0.06398642856456171,222
ETH,24,0.8,-0.25816313227443677,1.4960563529297766,3.1634275956262408,0.043508511587867726,222
ETH,24,0.9,-0.30781111001038497,-0.14749096650907378,-0.39852440671900247,0.0007213960427403521,222
