currency,horizon_hours,tenor,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,1,14.0,-0.06063491188146509,-0.22835010188485028,-1.8795148203416883,0.012243248264539708,287
BTC,1,30.0,-0.040884437380253255,0.03571887068538524,0.27765848884451544,0.000270432938970111,287
BTC,1,60.0,-0.034681351301005324,-0.280710141994575,-2.3144510878456273,0.018448632789242025,287
BTC,1,90.0,-0.01929952673939346,-0.047686430691898166,-0.44465342243612954,0.0006932617427496401,287
BTC,1,120.0,-0.012190112348813537,0.37646975237972274,2.946856238952861,0.029569070244739426,287
BTC,1,180.0,-0.015358495334507725,0.083408135253522,1.0692687697312973,0.003995674752019118,287
BTC,3,14.0,-0.1760786803679206,-0.9844781812076832,-3.665483647277571,0.05706766795645424,224
BTC,3,30.0,-0.11981749359710367,0.3293789504444918,1.139859946778751,0.005818561950614254,224
BTC,3,60.0,-0.08091330962438015,-0.5351978755010253,-2.043894433552436,0.018470026298872733,224
BTC,3,90.0,-0.012432222630126877,0.617157083109285,2.232376413281533,0.02195535954314609,224
BTC,3,120.0,-0.0015569032269353675,1.465422690354117,5.239635909603988,0.11005559416173227,224
BTC,3,180.0,-0.012375669226006436,0.5650880742106617,3.1123159463734726,0.04180869454615066,224
BTC,6,14.0,-0.3751015721924293,-0.5597640879317737,-1.1368394162324353,0.009278351313503408,140
BTC,6,30.0,-0.2970764083241086,1.343254691369527,2.1416916116283864,0.03216876721667827,140
BTC,6,60.0,-0.20177719253269338,-0.29570057892571994,-0.6874220015437882,0.0034125825774933283,140
BTC,6,90.0,-0.2020917752657421,-0.6383466691959805,-1.6058157123883043,0.018343071372059705,140
BTC,6,120.0,-0.10867559579389012,0.562278443168131,1.1927227654859607,0.010203422701045683,140
BTC,6,180.0,-0.06461652001056443,0.44912110532330657,1.311640582803337,0.012313169772747878,140
BTC,12,14.0,-0.21767246342250327,-1.9122823920999923,-3.8249123443178545,0.07797238178331345,175
BTC,12,30.0,-0.10065782602611692,-0.6024475393774751,-1.120790664850692,0.007208764556558722,175
BTC,12,60.0,-0.1472178402331314,-0.7146348415965915,-1.2414008103804408,0.008829302577808784,175
BTC,12,90.0,-0.06135371127415252,-0.7184068961115558,-1.4339955480959696,0.01174675075460907,175
BTC,12,120.0,-0.01283897979884089,1.5838827421346666,2.3577117157313707,0.03113150622277505,175
BTC,12,180.0,0.0006725715586485623,0.746655066404548,1.837705382775075,0.01914738310401698,175
BTC,24,14.0,-0.06663340098741337,0.01615540043325635,0.04409481384308672,7.565517112118059e-06,259
BTC,24,30.0,-0.14597692051217404,0.2044855164367064,0.638365487635115,0.0015831336662196493,259
BTC,24,60.0,-0.17450204056347537,-1.0411105851732643,-3.1929104640558306,0.038154492211854074,259
BTC,24,90.0,-0.05188265398681768,0.1442943326667172,0.4640996992327712,0.0008373858658231592,259
BTC,24,120.0,-0.0027163779508753813,1.211935865571594,3.461661209149554,0.04454963304930826,259
BTC,24,180.0,0.05318061443212145,0.3529656514929557,1.5071532078752996,0.008761127611243924,259
ETH,1,14.0,-0.028466397304079856,-0.24170455239105498,-4.252506855604893,0.059666051726980696,287
ETH,1,30.0,-0.02005235420729878,-0.06502285201012706,-0.7323036317952637,0.0018781103071519034,287
ETH,1,60.0,-0.021589033291332185,0.019976868650075502,0.22372008053095557,0.00017558556581331874,287
ETH,1,90.0,-0.01989017514360317,-0.10120137721906651,-1.1423535018606212,0.004557977167739979,287
ETH,1,120.0,-0.015896704538759725,-0.11839043362252745,-1.1093781035262575,0.004299747342088822,287
ETH,1,180.0,-0.012106995949857511,-0.0814419301447439,-0.9614953445853935,0.003233277959725278,287
ETH,3,14.0,-0.15228166963861106,-0.48452738112769844,-3.4582532625861897,0.051117885058346135,224
ETH,3,30.0,-0.13285346839348566,-0.16856289446406342,-1.0036574094657678,0.004517018358662028,224
ETH,3,60.0,-0.056245779184864966,0.13896363622490385,0.8020645406691723,0.0028894087791957457,224
ETH,3,90.0,-0.04268925664015887,0.24339266671310616,1.3773800424260318,0.00847342435050158,224
ETH,3,120.0,-0.037945124580859746,0.4706061235278898,2.408140709219225,0.025457258674232985,224
ETH,3,180.0,-0.03265436046491818,0.32077517035922176,2.197679114920323,0.021292588675411284,224
ETH,6,14.0,-0.13917429226957315,-0.6169923496513297,-2.7112748923520056,0.05057420284811309,140
ETH,6,30.0,-0.09988748189196828,-0.47627896727963454,-1.1830543629908468,0.010040326147442213,140
ETH,6,60.0,-0.018732054989372075,-0.07827784898153592,-0.2911776614346506,0.0006140027003571635,140
ETH,6,90.0,-0.018405394446261797,-0.16493336956893231,-0.5254158138214908,0.0019964538609589244,140
ETH,6,120.0,0.00044998278737301935,-0.06314518962683986,-0.21064747957883198,0.00032143549131413707,140
ETH,6,180.0,0.02678025292084096,-0.018405764104445273,-0.08929117722416544,5.777140379414902e-05,140
ETH,12,14.0,-0.26259303902605796,-1.08999071741897,-4.8239909750863,0.11856515785326016,175
ETH,12,30.0,-0.17417736500042888,-0.08433984469110346,-0.17956930428734744,0.00018635332979177743,175
ETH,12,60.0,-0.11323052237579503,-0.06047633822786859,-0.12190868456012263,8.58985593653605e-05,175
ETH,12,90.0,-0.08641037254874488,0.5053702545559865,1.0641568687613374,0.006503267899975684,175
ETH,12,120.0,-0.07623098350034922,1.129202991754952,1.9155127030644767,0.02076869734967901,175
ETH,12,180.0,-0.043591610520557676,0.5948435529040451,1.313773998396782,0.009878335782497416,175
ETH,24,14.0,-0.17146649500168287,-0.37013036307743974,-1.5232231466028765,0.0089472732013135,259
ETH,24,30.0,-0.11747207088067005,0.10493878979138563,0.2942100150116171,0.0003366941200285689,259
ETH,24,60.0,-0.046661428182031194,0.8337907717080317,2.3672767260386047,0.021340113314726517,259
ETH,24,90.0,-0.02824451450545962,0.9542668098739769,2.174487215290484,0.018066036189136714,259
ETH,24,120.0,-0.024915705761133645,1.9769455250390686,4.006297764548552,0.05878189703461778,259
ETH,24,180.0,-0.018393620446542223,0.9931218497141515,2.645361391609697,0.02650754386416343,259
